"filename", "language", "JavaScript", "TypeScript", "HTML", "SCSS", "JSON", "Vue", "Markdown", "comment", "blank", "total"
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\babel.config.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 11, 82
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\package-lock.json", "JSON", 0, 0, 0, 0, 22356, 0, 0, 0, 1, 22357
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\package.json", "JSON", 0, 0, 0, 0, 107, 0, 0, 0, 1, 108
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\postcss.config.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\public\index.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 1, 3, 25
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\shims-uni.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 4, 1, 12
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\shims-vue.d.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\App.vue", "Vue", 0, 0, 0, 0, 0, 34, 0, 6, 6, 46
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\aiApi.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\child.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 5, 18, 111
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\doctor.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\login.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 4, 10, 57
