"filename", "language", "Vue", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\doctor.js", "JavaScript", 0, 0, 15, 0, 3, 18
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\healthArticle.js", "JavaScript", 0, 0, 55, 4, 9, 68
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\image.js", "JavaScript", 0, 0, 41, 5, 4, 50
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\relation.js", "JavaScript", 0, 0, 85, 6, 20, 111
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\report.js", "JavaScript", 0, 0, 14, 0, 0, 14
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\testApi.js", "JavaScript", 0, 0, 51, 13, 26, 90
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\uploadImage.js", "JavaScript", 0, 0, -27, 0, -4, -31
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages.json", "JSON", 0, 12, 0, 0, -2, 10
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\childReports\childReports.vue", "Vue", 3, 0, 0, 0, 0, 3
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\doctorChat\doctorChat.vue", "Vue", 64, 0, 0, -1, 7, 70
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\doctorProfile\doctorProfile.vue", "Vue", 4, 0, 0, -1, 0, 3
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\articles\articleDetails\articleDetails.vue", "Vue", 149, 0, 0, 4, 17, 170
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\articles\articles.vue", "Vue", 177, 0, 0, 2, 25, 204
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\consultDoctors\consultDoctors.vue", "Vue", 60, 0, 0, 1, 5, 66
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\index.vue", "Vue", -4, 0, 0, 5, 0, 1
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\message\message.vue", "Vue", 2, 0, 0, 0, 0, 2
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\doctorApplications\doctorApplications.vue", "Vue", 23, 0, 0, 1, 3, 27
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\evaluationRecords\evaluationRecords.vue", "Vue", 53, 0, 0, 1, 10, 64
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\myDoctors\myDoctors.vue", "Vue", 15, 0, 0, 0, 0, 15
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\reportDetails\reportDetails.vue", "Vue", 7, 0, 0, 0, -1, 6
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\store\index.js", "JavaScript", 0, 0, 64, 3, 4, 71
"Total", "-", 553, 12, 298, 43, 126, 1032
