"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\image.js", "JavaScript", 0, 57, 1, 3, 61
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\message.js", "JavaScript", 0, 86, 19, 12, 117
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\relation.js", "JavaScript", 0, -38, -3, -4, -45
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\testApi.js", "JavaScript", 0, 38, 5, 6, 49
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\user.js", "JavaScript", 0, 37, 9, 7, 53
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\childReports\childReports.vue", "Vue", 21, 0, 3, 0, 24
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\doctorChat\doctorChat.vue", "Vue", 92, 0, 13, 32, 137
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\consultDoctors\consultDoctors.vue", "Vue", -6, 0, 6, 0, 0
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\index.vue", "Vue", 1, 0, -1, 0, 0
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\message\message.vue", "Vue", 96, 0, 1, 20, 117
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\childProfile\childProfile.vue", "Vue", 85, 0, -1, 9, 93
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\my.vue", "Vue", 41, 0, -2, 7, 46
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\myDoctors\myDoctors.vue", "Vue", 36, 0, 1, 4, 41
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\store\index.js", "JavaScript", 0, 0, 2, 0, 2
"Total", "-", 366, 180, 53, 96, 695
